Date,Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1C
1998-11,10000
1998-12,10000
1999-01,10070.54
1999-02,10051.173430114377
1999-03,10111.401700338878
1999-04,10172.15460146942
1999-05,10179.568756963763
1999-06,10134.833385588989
1999-07,10121.61547759514
1999-08,10141.92142624603
1999-09,10150.39395861427
1999-10,10132.873421517224
1999-11,10164.655532467317
1999-12,10167.069888062952
2000-01,10179.158978154324
2000-02,10206.989320243772
2000-03,10254.268530133757
2000-04,10260.382889822578
2000-05,10242.19413188094
2000-06,10287.345230814484
2000-07,10305.246164173712
2000-08,10332.560109287615
2000-09,10401.503031278975
2000-10,10440.297659947088
2000-11,10531.498395592249
2000-12,10637.613362855596
2001-01,10689.603881987314
2001-02,10725.37186592929
2001-03,10806.363914976611
2001-04,10759.825438096654
2001-05,10841.978487086095
2001-06,10902.638666421091
2001-07,10971.831534624973
2001-08,11051.954616195177
2001-09,11161.410299013134
2001-10,11260.292029570941
2001-11,11252.621074620787
2001-12,11247.819332338697
2002-01,11238.668170709409
2002-02,11276.641378464288
2002-03,11247.871648788887
2002-04,11328.854276886686
2002-05,11339.696918074598
2002-06,11439.789511124192
2002-07,11539.598373428864
2002-08,11606.886755777801
2002-09,11651.980080890824
2002-10,11746.881918947602
2002-11,11776.55462084569
2002-12,11885.732874360985
2003-01,11942.120149969245
2003-02,12022.476372680228
2003-03,12028.069242786742
2003-04,12047.065115651372
2003-05,12145.589294831305
2003-06,12174.896960663262
2003-07,12131.368547826125
2003-08,12127.677078118153
2003-09,12232.566289460534
2003-10,12177.85611955331
2003-11,12177.82308906348
2003-12,12263.924453946598
2004-01,12307.145711239144
2004-02,12390.370774192306
2004-03,12440.699783116921
2004-04,12399.675640424444
2004-05,12406.15143804868
2004-06,12414.589455015259
2004-07,12461.66613212545
2004-08,12531.509935344824
2004-09,12541.326655969786
2004-10,12597.034511965783
2004-11,12641.813875160036
2004-12,12649.412102501616
2005-01,12695.263533095987
2005-02,12699.067374192895
2005-03,12731.802089054067
2005-04,12811.73524929045
2005-05,12861.851762142893
2005-06,12914.95664367778
2005-07,12891.812510248685
2005-08,12925.353329856353
2005-09,12913.133881539969
2005-10,12882.563461724303
2005-11,12874.192573691329
2005-12,12890.94242768518
2006-01,12902.195689194528
2006-02,12915.860228010955
2006-03,12891.134768722819
2006-04,12904.579242408925
2006-05,12944.260776102903
2006-06,12942.77130949142
2006-07,12993.671047560241
2006-08,13031.981336149289
2006-09,13053.475673344366
2006-10,13073.07644962275
2006-11,13115.69085501166
2006-12,13099.010543105522
2007-01,13124.783218049733
2007-02,13180.58391768884
2007-03,13191.857546359932
2007-04,13211.01028627873
2007-05,13196.332296896298
2007-06,13222.549701898603
2007-07,13295.7491049958
2007-08,13405.8233380947
2007-09,13446.455614848082
2007-10,13482.458390224743
2007-11,13578.217114076451
2007-12,13581.591744589332
2008-01,13750.748617865256
2008-02,13832.44883724505
2008-03,13783.51140474679
2008-04,13765.278455394715
2008-05,13701.618490019302
2008-06,13667.663135728833
2008-07,13789.67404901716
2008-08,13883.97401513432
2008-09,14041.262608507834
2008-10,14250.123778170868
2008-11,14380.268212703266
2008-12,14488.467400217727
2009-01,14631.671647789275
2009-02,14713.344224828674
2009-03,14786.75248437477
2009-04,14810.942027195295
2009-05,14859.357991630952
2009-06,14907.56473272072
2009-07,14971.165435307117
2009-08,14989.186758107882
2009-09,15050.389070838193
2009-10,15060.98559448515
2009-11,15085.127985379075
2009-12,15063.684207535056
2010-01,15059.686320895147
2010-02,15173.244718258204
2010-03,15218.445079761052
2010-04,15128.663552721764
2010-05,15220.303847969632
2010-06,15171.951098760215
2010-07,15222.524475508912
2010-08,15273.065337904933
2010-09,15220.389658432672
2010-10,15224.490684941506
2010-11,15121.767671366377
2010-12,15171.233948677786
2011-01,15157.108991441994
2011-02,15172.646454153215
2011-03,15142.135337604466
2011-04,15140.006927978959
2011-05,15201.788908603154
2011-06,15210.362353619525
2011-07,15175.876019645324
2011-08,15399.454957903517
2011-09,15413.062948337974
2011-10,15338.583177969385
2011-11,15199.749429998672
2011-12,15514.629224470485
2012-01,15678.23942648991
2012-02,15799.445815792189
2012-03,15791.332950406906
2012-04,15777.59449618115
2012-05,15690.447896884212
2012-06,15770.023796790332
