Date,Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1C
2012-07,15805.469341464797
2012-08,15952.524854709636
2012-09,16013.461214642353
2012-10,16058.178795949052
2012-11,16118.028386707269
2012-12,16136.16970167181
2013-01,16145.287077347242
2013-02,16166.044089785551
2013-03,16193.169175938021
2013-04,16296.319316123996
2013-05,16272.94464877485
2013-06,16215.919190377193
2013-07,16269.962828510485
2013-08,16275.228119447102
2013-09,16317.090074943992
2013-10,16388.795345087623
2013-11,16428.842326104794
2013-12,16406.7312694042
2014-01,16481.644075923195
2014-02,16498.75639435697
2014-03,16524.046433384585
2014-04,16533.006531001385
2014-05,16562.663875086528
2014-06,16602.95529565087
2014-07,16621.896943753185
2014-08,16650.231948436423
2014-09,16661.552878081427
2014-10,16632.76678608772
2014-11,16649.379681646267
2014-12,16657.463573705114
2015-01,16689.114253923362
2015-02,16712.39050129713
2015-03,16724.25000023224
2015-04,16715.522780507297
2015-05,16718.859130393696
2015-06,16684.852830367185
2015-07,16722.26021648074
2015-08,16704.913180504565
2015-09,16720.24524057663
2015-10,16744.652804093606
2015-11,16767.17200844338
2015-12,16755.920782354267
2016-01,16775.546764215895
2016-02,16782.09598491365
2016-03,16767.366849022572
2016-04,16764.40360436506
2016-05,16772.373598721806
2016-06,16791.21427714911
2016-07,16788.803645462376
2016-08,16783.636837364058
2016-09,16786.914879183867
2016-10,16754.268700700766
2016-11,16752.53467455065
2016-12,16783.550942680995
2017-01,16735.643590518954
2017-02,16753.231833445465
2017-03,16729.87365146956
2017-04,16737.873052128132
2017-05,16749.080889995243
2017-06,16718.814469438003
2017-07,16737.267943843086
2017-08,16742.295026534288
2017-09,16732.033639393383
2017-10,16750.069382672384
2017-11,16739.974340629287
2017-12,16702.663102235874
2018-01,16683.458947214815
2018-02,16688.798406285514
2018-03,16703.416224900935
2018-04,16691.971773898895
2018-05,16584.96542225424
2018-06,16634.374272255824
2018-07,16620.640132751694
2018-08,16567.093436343872
2018-09,16579.587454220957
2018-10,16589.165474223366
2018-11,16623.00961907957
2018-12,16660.72757344955
2019-01,16668.35007225265
2019-02,16648.799549317948
2019-03,16677.76697117498
2019-04,16670.83152405986
2019-05,16667.777646174043
2019-06,16720.00872434277
2019-07,16747.012178488603
2019-08,16782.735574299168
2019-09,16757.368774883682
2019-10,16719.405618037043
2019-11,16692.11396782502
2019-12,16684.21239907013
2020-01,16703.446072890783
2020-02,16693.606673451173
2020-03,16620.79666653134
2020-04,16607.09477740388
2020-05,16614.704586799216
2020-06,16650.397245046985
2020-07,16657.999223812436
2020-08,16645.26669832318
2020-09,16659.64349804518
2020-10,16681.760164532927
2020-11,16674.835724227916
2020-12,16664.0418623909
2021-01,16643.574418917164
2021-02,16621.176872609056
2021-03,16616.197145962215
2021-04,16599.611537746616
2021-05,16586.898289467113
2021-06,16588.692914889078
2021-07,16606.92372596736
2021-08,16591.313285337823
2021-09,16569.9066826601
2021-10,16517.57674463401
2021-11,16570.59640715035
2021-12,16518.278945030394
2022-01,16486.2634876878
2022-02,16451.357693701713
2022-03,16343.051312370275
2022-04,16235.737624133848
2022-05,16187.356202731198
2022-06,16126.434559026518
2022-07,16236.407883588769
2022-08,16000.774842244908
2022-09,15823.111757014154
2022-10,15823.063986580391
2022-11,15840.384876586802
2022-12,15701.400646940172
2023-01,15765.03733558454
